D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_1.raw	R_1.1
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_2.raw	R_1.2
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_3.raw	R_1.3
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_4.raw	R_1.4
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_5.raw	R_1.5
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_6.raw	F_1.1
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_7.raw	F_1.2
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_8.raw	F_1.3
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_9.raw	F_1.4
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_10.raw	F_1.5
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_11.raw	R_2.1
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_12.raw	R_2.2
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_13.raw	R_2.3
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_14.raw	R_2.4
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_15.raw	R_2.5
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_16.raw	F_2.1
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_17.raw	F_2.2
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_18.raw	F_2.3
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_19.raw	F_2.4
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_20.raw	F_2.5
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_21.raw	R_3.1
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_22.raw	R_3.2
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_23.raw	R_3.3
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_24.raw	R_3.4
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_25.raw	R_3.5
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_26.raw	F_3.1
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_27.raw	F_3.2
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_28.raw	F_3.3
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_29.raw	F_3.4
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_30.raw	F_3.5
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_31.raw	R_4.1
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_32.raw	R_4.2
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_33.raw	R_4.3
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_34.raw	R_4.4
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_35.raw	R_4.5
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_36.raw	F_4.1
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_37.raw	F_4.2
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_38.raw	F_4.3
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_39.raw	F_4.4
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_40.raw	F_4.5
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_41.raw	R_5.1
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_42.raw	R_5.2
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_43.raw	R_5.3
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_44.raw	R_5.4
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_45.raw	R_5.5
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_46.raw	F_5.1
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_47.raw	F_5.2
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_48.raw	F_5.3
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_49.raw	F_5.4
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_50.raw	F_5.5
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_51.raw	F2_0.1
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_52.raw	F2_0.2
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_53.raw	F2_0.3
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_54.raw	F2_0.4
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_55.raw	F2_0.5
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_56.raw	R2_0.1
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_57.raw	R2_0.2
